clid, fname, lastname, age, memberyear
308,Andrea,Pendlebury,46,7

309,Elli,Bridson,37,18

310,Bridie,McRory,76,40

311,Darline,Bricknell,61,26

312,Janelle,Bowley,81,3

313,Nikki,Battaille,39,12

314,Lorrin,MacRury,34,2

315,Moishe,Bruckstein,77,21

316,Nicolais,Capron,59,14

317,Trip,Zapater,34,1

318,Jackson,Poulton,80,10

319,Kristoffer,Cayle,26,5

320,Gwynne,Fursland,39,14

321,Ellery,Brodley,73,12

322,Chantalle,Gietz,75,1

323,Aigneis,Beales,82,23

324,Tybi,Megroff,55,13

325,Jessalyn,Boissieux,38,9

326,Grenville,Gee,36,9

327,Bob,McElmurray,53,16

328,Tallie,Paradin,32,7

329,Marie,Scully,55,23

330,Travis,Harry,65,13

331,Horton,Caret,69,10

332,Ardelle,Scyone,38,4

333,Lizbeth,Stolli,58,8

334,Mathe,Anderl,65,24

335,Ethel,Yielding,60,26

336,Dari,Dunnion,69,14

337,Lynea,Canner,70,16

338,Grissel,Abelwhite,64,16

339,Aloysia,Deverell,39,17

340,Reggy,Karppi,58,24

341,Vivien,Shambroke,82,21

342,Herold,Bilbie,44,7

343,Vidovic,Conant,61,2

344,Aryn,Karlolak,32,11

345,Sigmund,Calderwood,70,2

346,Prudy,Whickman,18,0

347,Violette,Cutchie,73,17

348,Theresita,Labroue,37,2

349,Carver,Von Oertzen,61,7

350,Cicily,Willarton,47,14

351,Pris,De Blasiis,60,13

352,Bernadene,Clemencon,71,28

353,Aeriela,Degoy,30,7

354,Yolande,Bon,33,9

355,Maiga,Olrenshaw,23,1

356,Ethelyn,Felix,41,6

357,Edna,Leppingwell,85,14

358,Hamnet,Staggs,28,8

359,Layla,Logie,42,13

360,Sabine,Caller,45,2

361,Maryanne,Masserel,51,4

362,Kelley,Brice,55,25

363,Arleen,Fridlington,53,6

364,Emmie,Hazael,26,7

365,Guinevere,Bidgod,83,5

366,Barton,Parnell,82,1

367,Karalee,Rimmer,30,12

368,Mabelle,Gratten,49,13

369,Newton,Parkhouse,75,28

370,Lissy,Dunthorn,44,14

371,Lind,Musprat,47,1

372,Dinah,Rookeby,50,6

373,Audra,Hathwood,82,7

374,Raynard,Alenshev,83,14

375,Dorris,Swiggs,71,22

376,Jerrilyn,Ferrotti,79,16

377,Doro,Reichhardt,29,5

378,Rollo,Ruggen,63,16

379,Evangelin,Kybbye,53,22

380,Gavin,Pauluzzi,50,29

381,Parsifal,McGrail,31,2

382,Ilario,Nend,47,7

383,Birch,Pursehouse,37,13

384,Harriet,Farryn,58,22

385,Guinna,Wheeler,28,10

386,Lay,Phizakarley,70,15

387,Derek,Chattington,66,17

388,Gaspard,Kestian,27,7

389,Sheffy,Yoslowitz,36,4

390,Wilie,Dory,71,6

391,Corey,Rankcom,72,13

392,Orelee,Vsanelli,33,9

393,Bent,Bearn,47,12

394,Lilly,Esel,24,3

395,Glen,Crone,21,2

396,Odell,Eim,54,27

397,Bryce,Rasmus,76,9

398,Celka,Berkley,73,23

399,Norbert,Plunkett,41,12

400,Richie,Tipple,46,21

