clid,fname,lastname,age,memberyear
236.0,Shaughn,Gercke,21.0,1.0
237.0,Erik,Scyone,23.0,1.0
238.0,Graham,Wattingham,64.0,20.0
239.0,Nerty,Naile,82.0,6.0
240.0,Pierre,Leadbeater,57.0,5.0
241.0,Roze,Hospital,43.0,12.0
242.0,Weber,Buttler,21.0,3.0
243.0,Adair,Smickle,72.0,17.0
244.0,Waverley,Manford,32.0,11.0
245.0,Cecily,Coope,64.0,11.0
246.0,Izabel,Pail,42.0,10.0
247.0,Rici,Bindley,53.0,26.0
248.0,Leontine,Killbey,65.0,14.0
249.0,Irv,Stockford,71.0,10.0
250.0,Orsola,Jeaffreson,55.0,17.0
251.0,Janessa,Semkins,81.0,2.0
252.0,Starlene,Roycroft,23.0,2.0
253.0,Jeanna,Macek,39.0,13.0
254.0,Erhart,Berndsen,82.0,24.0
255.0,Frank,Blasing,51.0,27.0
256.0,Alphard,Selliman,52.0,18.0
257.0,Shelby,Gosnay,40.0,22.0
258.0,Maurise,Girardoni,19.0,1.0
259.0,Lydon,Tredgold,24.0,6.0
260.0,Belva,Reboulet,81.0,13.0
261.0,Luther,Gutherson,78.0,15.0
262.0,Gaston,Beiderbeck,52.0,15.0
263.0,Pooh,Aplin,61.0,21.0
264.0,Minerva,Fillery,67.0,28.0
265.0,Phyllis,Cejka,33.0,14.0
266.0,Frederico,Solomonides,38.0,6.0
267.0,Web,Lawie,49.0,10.0
268.0,Shannon,Bromige,67.0,27.0
269.0,Bess,Dudmarsh,60.0,29.0
270.0,Cherice,Davenell,47.0,15.0
271.0,Cassey,Strover,38.0,20.0
272.0,Fredek,Clingan,32.0,3.0
273.0,Ruben,Dufore,36.0,14.0
274.0,Mirna,Orhtmann,66.0,22.0
275.0,Eustace,Binestead,53.0,6.0
276.0,Hilary,Gooderidge,48.0,8.0
277.0,Flora,Rudyard,83.0,17.0
278.0,Donni,Archbutt,55.0,27.0
279.0,Mel,Gathercoal,21.0,1.0
280.0,Barbie,Cheyenne,21.0,2.0
281.0,Derwin,Denholm,66.0,9.0
282.0,Loralie,Craister,44.0,20.0
283.0,Orton,Breadon,85.0,23.0
284.0,Lelia,Steagall,46.0,4.0
285.0,Nichols,Schwaiger,19.0,1.0
286.0,Lyndsie,Beaver,37.0,18.0
287.0,Moll,Wigg,31.0,0.0
288.0,Cheslie,Woltering,55.0,23.0
289.0,Carlotta,Shouler,76.0,4.0
290.0,Melvin,MacKill,76.0,21.0
291.0,Astrix,Helix,49.0,16.0
292.0,Vilma,Streetley,71.0,10.0
293.0,Vivia,Gillyatt,45.0,12.0
294.0,Herbie,Kabos,68.0,3.0
295.0,Richardo,Brooking,34.0,3.0
296.0,Sunny,Iannuzzelli,73.0,22.0
297.0,Nikaniki,Duddin,27.0,8.0
298.0,Ernst,Dounbare,18.0,0.0
299.0,Lutero,Collinge,47.0,25.0
300.0,Cassey,Goricke,56.0,13.0
301.0,Domenic,Hanning,26.0,5.0
302.0,Kass,Arent,26.0,7.0
303.0,Tabbie,Camocke,62.0,23.0
304.0,Darda,Stanion,57.0,2.0
305.0,Cesya,Jaspar,52.0,28.0
306.0,Iggy,Hackelton,40.0,19.0
307.0,Lennie,Oldcroft,58.0,5.0
308.0,Andrea,Pendlebury,46.0,7.0
309.0,Elli,Bridson,37.0,18.0
310.0,Bridie,McRory,76.0,40.0
311.0,Darline,Bricknell,61.0,26.0
312.0,Janelle,Bowley,81.0,3.0
313.0,Nikki,Battaille,39.0,12.0
314.0,Lorrin,MacRury,34.0,2.0
315.0,Moishe,Bruckstein,77.0,21.0
316.0,Nicolais,Capron,59.0,14.0
317.0,Trip,Zapater,34.0,1.0
318.0,Jackson,Poulton,80.0,10.0
319.0,Kristoffer,Cayle,26.0,5.0
320.0,Gwynne,Fursland,39.0,14.0
321.0,Ellery,Brodley,73.0,12.0
322.0,Chantalle,Gietz,75.0,1.0
323.0,Aigneis,Beales,82.0,23.0
324.0,Tybi,Megroff,55.0,13.0
325.0,Jessalyn,Boissieux,38.0,9.0
326.0,Grenville,Gee,36.0,9.0
327.0,Bob,McElmurray,53.0,16.0
328.0,Tallie,Paradin,32.0,7.0
329.0,Marie,Scully,55.0,23.0
330.0,Travis,Harry,65.0,13.0
331.0,Horton,Caret,69.0,10.0
332.0,Ardelle,Scyone,38.0,4.0
333.0,Lizbeth,Stolli,58.0,8.0
334.0,Mathe,Anderl,65.0,24.0
335.0,Ethel,Yielding,60.0,26.0
336.0,Dari,Dunnion,69.0,14.0
337.0,Lynea,Canner,70.0,16.0
338.0,Grissel,Abelwhite,64.0,16.0
339.0,Aloysia,Deverell,39.0,17.0
340.0,Reggy,Karppi,58.0,24.0
341.0,Vivien,Shambroke,82.0,21.0
342.0,Herold,Bilbie,44.0,7.0
343.0,Vidovic,Conant,61.0,2.0
344.0,Aryn,Karlolak,32.0,11.0
345.0,Sigmund,Calderwood,70.0,2.0
346.0,Prudy,Whickman,18.0,0.0
347.0,Violette,Cutchie,73.0,17.0
348.0,Theresita,Labroue,37.0,2.0
349.0,Carver,Von Oertzen,61.0,7.0
350.0,Cicily,Willarton,47.0,14.0
351.0,Pris,De Blasiis,60.0,13.0
352.0,Bernadene,Clemencon,71.0,28.0
353.0,Aeriela,Degoy,30.0,7.0
354.0,Yolande,Bon,33.0,9.0
355.0,Maiga,Olrenshaw,23.0,1.0
356.0,Ethelyn,Felix,41.0,6.0
357.0,Edna,Leppingwell,85.0,14.0
358.0,Hamnet,Staggs,28.0,8.0
359.0,Layla,Logie,42.0,13.0
360.0,Sabine,Caller,45.0,2.0
361.0,Maryanne,Masserel,51.0,4.0
362.0,Kelley,Brice,55.0,25.0
363.0,Arleen,Fridlington,53.0,6.0
364.0,Emmie,Hazael,26.0,7.0
365.0,Guinevere,Bidgod,83.0,5.0
366.0,Barton,Parnell,82.0,1.0
367.0,Karalee,Rimmer,30.0,12.0
368.0,Mabelle,Gratten,49.0,13.0
369.0,Newton,Parkhouse,75.0,28.0
370.0,Lissy,Dunthorn,44.0,14.0
371.0,Lind,Musprat,47.0,1.0
372.0,Dinah,Rookeby,50.0,6.0
373.0,Audra,Hathwood,82.0,7.0
374.0,Raynard,Alenshev,83.0,14.0
375.0,Dorris,Swiggs,71.0,22.0
376.0,Jerrilyn,Ferrotti,79.0,16.0
377.0,Doro,Reichhardt,29.0,5.0
378.0,Rollo,Ruggen,63.0,16.0
379.0,Evangelin,Kybbye,53.0,22.0
380.0,Gavin,Pauluzzi,50.0,29.0
381.0,Parsifal,McGrail,31.0,2.0
382.0,Ilario,Nend,47.0,7.0
383.0,Birch,Pursehouse,37.0,13.0
384.0,Harriet,Farryn,58.0,22.0
385.0,Guinna,Wheeler,28.0,10.0
386.0,Lay,Phizakarley,70.0,15.0
387.0,Derek,Chattington,66.0,17.0
388.0,Gaspard,Kestian,27.0,7.0
389.0,Sheffy,Yoslowitz,36.0,4.0
390.0,Wilie,Dory,71.0,6.0
391.0,Corey,Rankcom,72.0,13.0
392.0,Orelee,Vsanelli,33.0,9.0
393.0,Bent,Bearn,47.0,12.0
394.0,Lilly,Esel,24.0,3.0
395.0,Glen,Crone,21.0,2.0
396.0,Odell,Eim,54.0,27.0
397.0,Bryce,Rasmus,76.0,9.0
398.0,Celka,Berkley,73.0,23.0
399.0,Norbert,Plunkett,41.0,12.0
400.0,Richie,Tipple,46.0,21.0
